NA	sentiment	tweet
2.60098E+17	neutral	Won the match #getin . Plus\u002c tomorrow is a very busy day\u002c with Awareness Day\u2019s and debates. Gulp. Debates...
2.63792E+17	neutral	Some areas of New England could see the first flakes of the season Tuesday.
2.64195E+17	negative	@francesco_con40 2nd worst QB. DEFINITELY Tony Romo. The man who likes to share the ball with everyone. Including the other team.
2.64041E+17	neutral	#Thailand Washington - US President Barack Obama vowed Wednesday as he visited storm-ravaged New Jersey shore to... http://t.co/Xzl4LFhs
2.63816E+17	neutral	Did y\u2019all hear what Tony Romo dressed up as for Halloween? A Giants quaterback! Cause that\u2019s all he could throw to sunday night.
2.63722E+17	positive	Tim Tebow may be availible ! Wow Jerry \u002c what the heck you waiting for ! http://t.co/a7z9FBL4
2.62936E+17	positive	@mariakaykay aga tayo tomorrow ah. :) Good night\u002c Ces. Love you! >:D<
2.60486E+17	neutral	Tina Fey & Amy Poehler are hosting the Golden Globe awards on January 13. What do you think?
2.62969E+17	positive	Lunch from my new Lil spot ...THE COTTON BOWL ....pretty good#1st#time#will be going back# http://t.co/Dbbj8xLZ
2.63791E+17	positive	SNC Halloween Pr. Pumped. Let\u2019s work it for Sunday....Packers vs....who knows or caresn. #SNC #cheerpracticeonhalloween
2.64255E+17	negative	@jacquelinemegan I\u2019m sorry\u002c I Heart Paris is no longer available at the Rockwell branch! You may call 8587000 to get a copy transferred! :)
2.64221E+17	neutral	Manchester United will try to return to winning ways when they face Arsenal in the Premier League at Old Trafford on Saturday.
2.64092E+17	neutral	Going to a bulls game with Aaliyah & hope next Thursday
2.6393E+17	neutral	Any Toon Fans with a spare ticket for Anfield on Sunday?willing to pay extra #NUFC
2.63759E+17	positive	Louis inspired outfit on Monday and Zayn inspired outfit today..4/5 done just need Harry  :)
2.59546E+17	neutral	going to bed now...Rose parade then game tomorrow
2.64249E+17	neutral	@_Nenaah oh cause my friend got something from china and they said it will take at least 6 to 8 weeks and it came in the 2nd week :P
2.64123E+17	positive	"I love the banner that was unfurled in the United end last night. It read: \""Chelsea - Standing up against racism since Sunday\"""
2.64256E+17	positive	#Repost Chris Bosh may be ugly. But he has a gorgeous wife and adorbs baby. I want to be happy like them one http://t.co/S6moxr1U
2.63973E+17	negative	@prodnose is this one of your little jokes like Elvis playing at the Marquee  next Tuesday?
2.45503E+17	positive	"Gary Ablett wins the AFLPA MVP for the 4th time in his career. He should have started his speech with- \""Yeah\u002c I\u2019d... http://t.co/K31dSryH"
2.64223E+17	negative	Gold edges down ahead of US jobs data: SINGAPORE (Reuters) - Gold edged lower on Friday\u002c with investors waiting for... http://t.co/CiqFona1
2.64164E+17	neutral	.@NUMensSoccer: Another close-range IU shot goes high. Kyle Schickel checks in for Missimo. Kyle missed the Wisconsin game last Sunday.
2.64031E+17	positive	Lana Del Rey at Hammersmith Apollo in May... Very badly want tickets
2.51536E+17	neutral	Shaw wouldn\u2019t let Luck throw late in the FIesta Bowl\u002c but he\u2019s fine with Nunes throwing a fade route on 4th and 4 w/ 1:50 left.
2.64247E+17	negative	Monday before I leave Singapore\u002c I am going to post something that might be offensive.
2.64206E+17	positive	ABC has @jaketapper \u002c and the Country Music Awards\u002c they may still have a little credibility come Wednesday. #tcot
2.64239E+17	positive	Here in the Philippines\u002c Its November 2 and I was like where\u2019s my phone?! What is the time in LONDON?! #Excited #LittleThngs @NiallOfficial
2.64111E+17	positive	Tonight Dr. Terrie Hale Scheckelhoff will be formally installed as the 11th Head of School. Welcome to the Saints family @TScheckelhoff!
2.64255E+17	neutral	Man\u002c bye. I gotta work all day and drive to Houston tomorrow.
2.64148E+17	neutral	@thaalitaa410 won\u2019t get emojis till tomorrow beeeotch! when is your grandma going back to brazil? i wanna see your fam before they leave!
2.59177E+17	negative	\u2019Love-cheat\u2019 Daniel Radcliffe splits with girlfriend Rosie Coker: London\u002c Oct 19: Daniel Radcliffe has split wit... http://t.co/ZVlsK2HQ
2.63138E+17	positive	@solz_b He\u2019s a true Niners fan\u002c he brought it up in a interview during his 2nd season. :D
2.62664E+17	positive	Patriots Extend Lead\u002c Cruise into 4th with 38-7 Lead - Pats Pulpit: The Patriots extended their lead in the 3rd ... http://t.co/knFUZ5ak
2.63951E+17	positive	@KevOrf_5 Yeah I think so. We saw Suarez score up near us and we played pretty well 2nd half so it wasn\u2019t so bad. Probably should\u2019ve had ET
2.64224E+17	neutral	I may exit off twitter and fb  and thug with instagram btw its blonde_lifestyle:insta
2.64169E+17	neutral	Indiana 1\u002c Northwestern 0\u002c end first half\u002c men\u2019s soccer. Eriq Zavaleta\u2019s 16th goal the difference. IU dominating play. #iusocc
2.49652E+17	neutral	"VH1\u2019s \""Mob Wives\"" Celebrate the 20th Anniversary of the @5001Flavors Clothing Line in New York City - http://t.co/EcNEy9fM @carnegiepr"
