NA	sentiment	tweet
2.64184E+17	positive	Gas by my house hit $3.39!!!! I\u2019m going to Chapel Hill on Sat. :)
2.63405E+17	negative	Theo Walcott is still shit\u002c watch Rafa and Johnny deal with him on Saturday.
2.62163E+17	negative	its not that I\u2019m a GSP fan\u002c i just hate Nick Diaz. can\u2019t wait for february.
2.64249E+17	negative	Iranian general says Israel\u2019s Iron Dome can\u2019t deal with their missiles (keep talking like that and we may end up finding out)
2.62682E+17	neutral	Tehran\u002c Mon Amour: Obama Tried to Establish Ties with the Mullahs http://t.co/TZZzrrKa via @PJMedia_com No Barack Obama - Vote Mitt Romney
2.6423E+17	neutral	I sat through this whole movie just for Harry and Ron at christmas. ohlawd
2.64106E+17	positive	with J Davlar 11th. Main rivals are team Poland. Hopefully we an make it a successful end to a tough week of training tomorrow.
2.64095E+17	negative	Talking about ACT\u2019s && SAT\u2019s\u002c deciding where I want to go to college\u002c applying to colleges and everything about college stresses me out.
2.12393E+17	neutral	"Why is \""""Happy Valentines Day\"""" trending? It\u2019s on the 14th of February not 12th of June smh.."
2.54942E+17	negative	They may have a SuperBowl in Dallas\u002c but Dallas ain\u2019t winning a SuperBowl. Not with that quarterback and owner. @S4NYC @RasmussenPoll
2.64169E+17	neutral	Im bringing the monster load of candy tomorrow\u002c I just hope it doesn\u2019t get all squiched
2.63192E+17	neutral	Apple software\u002c retail chiefs out in overhaul: SAN FRANCISCO Apple Inc CEO Tim Cook on Monday replaced the heads... http://t.co/X49ZEOsG
2.63399E+17	positive	@oluoch @victor_otti @kunjand I just watched it! Sridevi\u2019s comeback.... U remember her from the 90s?? Sun mornings on NTA ;)
2.63651E+17	positive	One of my best 8th graders Kory was excited after his touchdown today!! He did the victor cruz!!lol http://t.co/tqORFrXB
2.602E+17	neutral	#Livewire Nadal confirmed for Mexican Open in February: Rafael Nadal is set to play at the Me... http://t.co/zgUXpcnC #LiveWireAthletics
2.64088E+17	positive	@MsSheLahY I didnt want to just pop up... but yep we have chapel hill next wednesday you should come.. and shes great ill tell her you asked
2.50693E+17	neutral	@Alyoup005 @addicted2haley hmmmm  November is an odd release date if true but if it becomes big enough maybe she could sing it at Grammys
2.63305E+17	neutral	#Iran US delisting MKO from global terrorists list in line with Iran campaign: Tehran\u002c Oct 30\u002c IRNA -- Secretary... http://t.co/9wWvxEbf
2.61954E+17	positive	@JackStirling serge is amazing... like hes actually a god the lanky sex god... i saw kasabian and noel together in august. it was amazing.
2.60941E+17	neutral	@HatersgonnHate_ @HAMlikeHussain @Ramythe3lite Larry Bird is ranked 4th all-time not including Lebron or Kobe just sayin...
2.63957E+17	positive	Good Morning Becky ! Thursday is going to be Fantastic ! @SwedenG @DJ4JG @Grdina @Paverlayer @FSBull @RevkahJC @DicksTrash @borderfox116
2.63975E+17	neutral	Expect light-moderate rains over E. Visayas; Cebu\u002c Bohol\u002c Samar & Leyte have 30-70% chance of rains tonight! Expect fair weather tomorrow!:)
2.57344E+17	positive	One ticket left for the @49ers game tomorrow!  Don\u2019t miss the rematch of the NFC Championship game against the NY Giants!  Hit me up!
2.64126E+17	negative	AFC away fans on Saturday. All this stuff about the \u2019she said no\u2019 chant. It\u2019s bollocks. When he has the ball\u002c just turn your back on him.
2.6235E+17	negative	My Saturday night has consisted of me watching The Grey with my puppy while my parents throw a rager #whaa #liamneesonisbosstho
2.6426E+17	negative	Why is it so hard to find the @TVGuideMagazine these days? Went to 3 stores for the Castle cover issue. NONE. Will search again tomorrow...
2.5724E+17	neutral	Game 1 of the NLCS and a rematch of the NFC Championship game tomorrow. SF\u2019s gonna be cuuuuhraaaaaaaazeeeee
2.63868E+17	neutral	James hall LIVE in Indianapolis Dec.8th.. CHRIST CHURCH APOSTOLIC!\u2019 Tixs just $10/adv. $15@door BE THERE..
2.64224E+17	neutral	@TrevorJavier the heat game may cost alot more...and plus I would rather see Austin Rivers play
2.64042E+17	positive	Never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to U\u002c ACT NOW! #getafterit
2.64102E+17	positive	@TheFFAddict I had Vick and Flacco\u002c needed an upgrade.  Vick may get benched\u002c Jennings a back up again soon. I thought it was a win for me.
2.64174E+17	positive	@lisahochstein KEY LARGO\u002c FL!!! Yay just ur neighbor Lisa a sip n a hop away :) always watching #RHOM Thur\u2019s!!
2.64072E+17	positive	Looks like Andy the Android may have had a little too much fun yesterday. http://t.co/7ZDEfzEC
2.62115E+17	positive	@APGPhoto oooh nice .. Tis tempting to go up the lakes with my Nikon ...  Hmmmm I may do that ..
2.6424E+17	neutral	BLACK FRIDAY Huge Saving Aerial View of a City\u002c Paris Las Vegas\u002c the Las Vegas Strip\u002c Las Vegas\u002c... http://t.co/DCTgeSED
2.6425E+17	positive	YES we all know INDIO vs CV is tomorrow the BELL GAME. Its enough.!!
2.57951E+17	negative	@MelmurMel @PBandJenelley_1 @vl_delp_ham_ Jenelle lies\u002c1st she said she was alone &the hosp.now she\u2019s saying how weird it was for Keiffer\u2019s
2.63503E+17	negative	@MyBeautyisBrown LMFAO his big ass get on my nerves\u002c you going to class tomorrow?
2.6409E+17	positive	@tantrak I\u2019m going to Hong Kong during that time and mamA is on Nov 30. I want to see them live
2.47426E+17	positive	Happy 20th Mr. President! Nick J forever off the chain.
2.24195E+17	negative	Dream High 2 sucks compared to the 1st one.
2.36665E+17	neutral	Mohamed Morsi\u002c Egypt\u2019s Muslim Brotherhood president\u002c instructed the Supreme Council of the Armed Forces Thursday... http://t.co/NnBeUvSt
2.62384E+17	neutral	C\u2019mon Avila! You just got tagged out by a guy who looks like the kid Bill Murray was researching in The Royal Tenenbaums! #Tigers
2.63937E+17	negative	@thehuwdavies you think the Boro will beat Swansea? I\u2019m not so sure\u002c December/January is when we implode
2.49228E+17	neutral	At the first Grammy Awards\u002c held on 4 May 1959\u002c Domenico Modugno beat out Frank Sinatra and Peggy Lee for the Record of the Year\u002cwith Volare
2.43094E+17	positive	Happy birthday VOW  (the 3rd anniversary)
2.63346E+17	positive	@JennetteMcHevan I have studied all day but tomorrow I\u2019m going out with friends! :D Omg Jennette did?!!!! I\u2019m gonna look! <3
2.63971E+17	positive	"Good morning Thursday. \""""Life is fragile. We\u2019re not guaranteed a tomorrow so give it everything you\u2019ve got.\"""" - Tim Cook [Do it for Jobs!]"
2.64163E+17	positive	#Twitition Mcfly come back to Argentina but this time we want to come to mar del plata!!! http://t.co/DlXY0LCg
2.59822E+17	positive	@Astrochologist anything. I wondered how the aspects btwn my sun/moon faired with my rising. I also have Venus in Sag...yea lol Thank u :)
2.63801E+17	negative	My teachers call themselves givng us candy....wasn\u2019t even the GOOD stuff. I might go to Walmart or CVS tomorrow/
2.64012E+17	neutral	#Broncos Peyton Manning named AFC Offensive Player of the month. It\u2019s his 5th such honor\u002c second to Tom Brady\u2019s 6\u002c tied w/ TD.
2.6412E+17	neutral	@TooZany is bringing out Kendrick Lamar the 6th of December!?! Get your tickets now!
2.63939E+17	positive	@jackseymour11 I may have an Android phone by the time I get back to school! :)
2.64057E+17	neutral	Andre\u2019s Wigan Warning - #COYS Official Site Wigan might currently occupy 15th place in the Premier League\u002c... http://t.co/3mo7WIWd
2.64166E+17	positive	@Genesis8907 Tryst tonight! Best industry/local/Thursday party in Las Vegas!
2.55098E+17	positive	What If it rained? We didn\u2019t care.. She said that someday soon the sun was gonna shine.. And she was right.. This love of mine My Valentine
2.60626E+17	positive	@CalebMac93 @strokemyego17 royal rumble tomorrow night\u002c my house. assemble the crew were gettin real this time haahaha
2.61966E+17	neutral	@juice005 strange enough\u002c I\u2019m going to see Noel Gallagher in concert tomorrow  night. #alldayb1tch
2.64042E+17	neutral	"When my professor passes out candy and says \""""a very small amount of that may be from Valentines day\u002c just so you know\"""""
2.63656E+17	neutral	How are they going to act in new york with the subways out? They better clutch it out like Eli Manning 4th quarter
1.65044E+17	negative	Homegrown talent missing on Signing Day: Throughout most of the day on Wednesday\u002c the video scoreboard ... http://t.co/6dZ2hQkD #Raleigh
2.6423E+17	positive	taylor swift is coming with ed sheeran june 29th? most perf news i\u2019ve heard all night.
2.63809E+17	positive	The great Noel Gallagher is about to hit the stage in St. Paul. Plenty of room here so we\u2019re 4th row center. Plenty of room. Pretty fired up
2.54278E+17	positive	I\u2019d love to go for a pint with Jim White off SSN\u002c think he may have a bit about him
2.63797E+17	neutral	@lala_cox There are going to be plenty of ups & downs for Boro\u002cCardiff\u002cLeicester etc until May.I hope we are still in with a shout for promo
2.64162E+17	negative	@joeeewilliams that sucks\u002c amazon might have some left .. hate that i won\u2019t have it until 11am on Tuesday though
